tweet_id,favorites,retweets,user_followers,user_favourites,date_time
798585098161549313,0,5277,9285535,146719,2016-11-15 17:54:59+00:00
798576900688019456,0,5488,9285535,146719,2016-11-15 17:22:24+00:00
798340744599797760,0,3142,9285535,146719,2016-11-15 01:44:00+00:00
798209839306514432,9932,2425,9285535,146719,2016-11-14 17:03:50+00:00
797971864723324932,10962,2893,9285535,146719,2016-11-14 01:18:12+00:00
797545162159308800,13885,4620,9285535,146719,2016-11-12 21:02:38+00:00
797236660651966464,18949,6165,9285535,146719,2016-11-12 00:36:46+00:00
797165961484890113,212,24,9285535,146719,2016-11-11 19:55:50+00:00
796904159865868288,0,8360,9285535,146719,2016-11-11 02:35:32+00:00
796865951799083009,7317,1829,9285535,146719,2016-11-11 00:03:42+00:00
796759840936919040,11217,2837,9285535,146719,2016-11-10 17:02:03+00:00
796563435802726400,0,6748,9285535,146719,2016-11-10 04:01:37+00:00
796484825502875648,7190,1653,9285535,146719,2016-11-09 22:49:15+00:00
796387464403357696,10469,3893,9285535,146719,2016-11-09 16:22:22+00:00
796177847564038144,0,13383,9285535,146719,2016-11-09 02:29:25+00:00
796149749086875649,30544,13383,9285535,146719,2016-11-09 00:37:46+00:00
796125600683540480,4739,1686,9285535,146719,2016-11-08 23:01:49+00:00
796116448414461957,8647,2254,9285535,146719,2016-11-08 22:25:27+00:00
796080075804475393,8025,2169,9285535,146719,2016-11-08 20:00:55+00:00
796031486298386433,10277,3502,9285535,146719,2016-11-08 16:47:50+00:00
795464331001561088,46814,21988,9285941,146719,2016-11-07 03:14:10+00:00
795400264262053889,9521,2686,9285535,146719,2016-11-06 22:59:35+00:00
795076730285391872,15351,5104,9285535,146719,2016-11-06 01:33:58+00:00
794983741416415232,0,3160,9285535,146719,2016-11-05 19:24:28+00:00
794926597468000259,9688,2161,9285535,146719,2016-11-05 15:37:24+00:00
794355576146903043,0,9671,9285535,146719,2016-11-04 01:48:22+00:00
794332329137291264,9139,2539,9285535,146719,2016-11-04 00:15:59+00:00
794205286408003585,8778,3116,9285535,146719,2016-11-03 15:51:10+00:00
793962221541933056,15919,4582,9285535,146719,2016-11-02 23:45:19+00:00
793845145112371200,8778,1749,9285535,146719,2016-11-02 16:00:06+00:00
793614319594401792,0,2930,9285535,146719,2016-11-02 00:42:53+00:00
793601777308463104,7585,1518,9285535,146719,2016-11-01 23:53:02+00:00
793500921481273345,10129,2236,9285535,146719,2016-11-01 17:12:16+00:00
793286476301799424,23364,8602,9285535,146719,2016-11-01 03:00:09+00:00
793271401113350145,8258,2249,9285535,146719,2016-11-01 02:00:14+00:00
793256262322548741,18946,7812,9285535,146719,2016-11-01 01:00:05+00:00
793241302385262592,9996,3080,9285535,146719,2016-11-01 00:00:38+00:00
793226087023144960,9289,2718,9285535,146719,2016-10-31 23:00:11+00:00
793210959003287553,8487,2611,9285536,146719,2016-10-31 22:00:04+00:00
793195938047070209,14461,5280,9285536,146719,2016-10-31 21:00:23+00:00
793180763617361921,6573,1867,9285536,146719,2016-10-31 20:00:05+00:00
793165685325201412,8914,2629,9285536,146719,2016-10-31 19:00:10+00:00
793150605191548928,5857,1597,9285536,146719,2016-10-31 18:00:14+00:00
793135492858580992,6085,2362,9285536,146719,2016-10-31 17:00:11+00:00
793120401413079041,12033,3689,9285536,146719,2016-10-31 16:00:13+00:00
792913359805018113,13611,3718,9285536,146719,2016-10-31 02:17:31+00:00
792883833364439040,10713,4005,9285536,146719,2016-10-31 00:20:11+00:00
792773781206999040,7003,1572,9285536,146719,2016-10-30 17:02:53+00:00
792394556390137856,12731,4018,9285536,146719,2016-10-29 15:55:58+00:00
792050063153438720,6777,1673,9285536,146719,2016-10-28 17:07:05+00:00
791821351946420224,0,19725,9285536,146719,2016-10-28 01:58:16+00:00
791784077045166082,0,8909,9285536,146719,2016-10-27 23:30:09+00:00
791780927877898241,0,3560,9285536,146719,2016-10-27 23:17:38+00:00
791774931465953280,42738,20779,9285942,146719,2016-10-27 22:53:48+00:00
791672322847637504,11155,2930,9285536,146719,2016-10-27 16:06:04+00:00
791406955684368384,12495,3860,9285536,146719,2016-10-26 22:31:36+00:00
791312159183634433,8326,2368,9285536,146719,2016-10-26 16:14:55+00:00
791026214425268224,0,3818,9285536,146719,2016-10-25 21:18:40+00:00
790987426131050500,9310,1992,9285536,146719,2016-10-25 18:44:32+00:00
790946055508652032,15868,4392,9285536,146719,2016-10-25 16:00:09+00:00
790723298204217344,0,2146,9285536,146719,2016-10-25 01:14:59+00:00
790698755171364864,7807,1808,9285536,146719,2016-10-24 23:37:28+00:00
790581949425475584,19576,6651,9285536,146719,2016-10-24 15:53:19+00:00
790337589677002753,7421,1769,9285536,146719,2016-10-23 23:42:19+00:00
790277117346975746,11908,2958,9285536,146719,2016-10-23 19:42:02+00:00
790227638568808452,0,3313,9285536,146719,2016-10-23 16:25:25+00:00
789986466051088384,8802,2146,9285942,146719,2016-10-23 00:27:05+00:00
789960241177853952,0,3839,9285536,146719,2016-10-22 22:42:52+00:00
789903600034189313,9792,3887,9285536,146719,2016-10-22 18:57:48+00:00
789628658055020548,7084,1651,9285536,146719,2016-10-22 00:45:17+00:00
789599242079838210,6382,1796,9285536,146719,2016-10-21 22:48:24+00:00
789530877013393408,11095,3160,9285536,146719,2016-10-21 18:16:44+00:00
